timestamp,event_type,data
2026-06-11T22:32:24.533573+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.895689606666565,""mean_obstacle_dist"":4.201931684269946}"
2026-06-11T22:32:24.558265+00:00,odom,"{""x"":-0.1680267723602517,""y"":0.2641436152209369,""z"":0.0,""yaw"":-3.0128150033408274,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:32:24.638446+00:00,odom,"{""x"":-0.1680267723602517,""y"":0.2641436152209369,""z"":0.0,""yaw"":-3.0128150033408274,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:32:24.689967+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.895689606666565,""mean_obstacle_dist"":4.201931684269946}"
2026-06-11T22:32:24.790071+00:00,odom,"{""x"":-0.1680267723602517,""y"":0.2641436152209369,""z"":0.0,""yaw"":-3.0128150033408274,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:32:24.790423+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.895689606666565,""mean_obstacle_dist"":4.201931684269946}"
2026-06-11T22:32:24.822541+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.895689606666565,""mean_obstacle_dist"":4.201931684269946}"
2026-06-11T22:32:24.834394+00:00,odom,"{""x"":-0.1680267723602517,""y"":0.2641436152209369,""z"":0.0,""yaw"":-3.0128150033408274,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:32:24.902434+00:00,odom,"{""x"":-0.1680267723602517,""y"":0.2641436152209369,""z"":0.0,""yaw"":-3.0128150033408274,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:32:24.912091+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.895689606666565,""mean_obstacle_dist"":4.201931684269946}"
2026-06-11T22:32:24.953073+00:00,odom,"{""x"":-0.1680267723602517,""y"":0.2641436152209369,""z"":0.0,""yaw"":-3.0128150033408274,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
